date,model_version,dataset_version,accuracy,precision,recall,f1_score,business_impact,inference_time_ms,memory_usage_mb,active_users
2023-12-15,churn_v3.1,dataset_2023_q4,0.892,0.874,0.815,0.843,0.782,45,512,12500
2023-12-22,churn_v3.1,dataset_2023_q4,0.891,0.873,0.814,0.842,0.781,44,512,12800
2023-12-29,churn_v3.1,dataset_2023_q4,0.890,0.872,0.813,0.841,0.780,45,512,13050
2024-01-05,churn_v3.1,dataset_2024_q1,0.887,0.869,0.809,0.838,0.775,42,520,13200
2024-01-12,churn_v3.1,dataset_2024_q1,0.888,0.870,0.810,0.839,0.776,43,520,13500
2024-01-19,churn_v3.2,dataset_2024_q1,0.891,0.894,0.812,0.851,0.781,38,525,13800
2024-01-26,churn_v3.2,dataset_2024_q1,0.890,0.893,0.811,0.850,0.780,39,525,14000
2024-02-02,churn_v3.2,dataset_2024_q1,0.889,0.892,0.810,0.849,0.779,38,525,14250
2024-02-09,churn_v3.2,dataset_2024_q1,0.889,0.892,0.810,0.849,0.779,39,525,14500
2024-02-16,churn_v3.2,dataset_2024_q1,0.888,0.891,0.809,0.848,0.778,40,525,14700
